_ああいあうえあ	_a_a_i_a_u_e_a
_いいうあえいえ	_i_i_u_a_e_i_e
_うういおあおい	_u_u_i_o_a_o_i
_ええうおえおお	_e_e_u_o_e_o_o
_んいんえんおん	_n_i_n_e_n_o_n
_おうんあんんう	_o_u_n_a_n_n_u
_かかきかくけか	_ka_ka_ki_ka_ku_ke_ka
_ききくかけきけ	_ki_ki_ku_ka_ke_ki_ke
_くくきこかこき	_ku_ku_ki_ko_ka_ko_ki
_けけくこけここ	_ke_ke_ku_ko_ke_ko_ko
_こくんかんく	_ko_ku_n_ka_n_ku
_んきんけんこ	_n_ki_n_ke_n_ko
_ささすぃさすせさ	_sa_sa_si_sa_su_se_sa
_すぃすぃすさせすぃせ	_si_si_su_sa_se_si_se
_すすすぃそさそすぃ	_su_su_si_so_sa_so_si
_せせすそせそそ	_se_se_su_so_se_so_so
_そすんさんす	_so_su_n_sa_n_su
_んすぃんせんそ	_n_si_n_se_n_so
_たたてぃたとぅてた	_ta_ta_ti_ta_tu_te_ta
_てぃてぃとぅたててぃて	_ti_ti_tu_ta_te_ti_te
_とぅとぅてぃとたとてぃ	_tu_tu_ti_to_ta_to_ti
_ててとぅとてとと	_te_te_tu_to_te_to_to
_ととぅんたんとぅ	_to_tu_n_ta_n_tu
_んてぃんてんと	_n_ti_n_te_n_to
_ななになぬねな	_na_na_ni_na_nu_ne_na
_ににぬなねにね	_ni_ni_nu_na_ne_ni_ne
_ぬぬにのなのに	_nu_nu_ni_no_na_no_ni
_ねねぬのねのの	_ne_ne_nu_no_ne_no_no
_のぬんなんぬ	_no_nu_n_na_n_nu
_んにんねんの	_n_ni_n_ne_n_no
_ははひはふへは	_ha_ha_hi_ha_hu_he_ha
_ひひふはへひへ	_hi_hi_hu_ha_he_hi_he
_ふふひほはほひ	_hu_hu_hi_ho_ha_ho_hi
_へへふほへほほ	_he_he_hu_ho_he_ho_ho
_ほふんはんふ	_ho_hu_n_ha_n_hu
_んひんへんほ	_n_hi_n_he_n_ho
_ままみまむめま	_ma_ma_mi_ma_mu_me_ma
_みみむまめみめ	_mi_mi_mu_ma_me_mi_me
_むむみもまもみ	_mu_mu_mi_mo_ma_mo_mi
_めめむもめもも	_me_me_mu_mo_me_mo_mo
_もむんまんむん	_mo_mu_n_ma_n_mu_n
_んみんめんもん	_n_mi_n_me_n_mo_n
_ややいやゆいぇや	_ya_ya_i_ya_yu_ye_ya
_いいゆやいぇいいぇ	_i_i_yu_ya_ye_i_ye
_ゆゆいよやよい	_yu_yu_i_yo_ya_yo_i
_いぇいぇゆよいぇよよ	_ye_ye_yu_yo_ye_yo_yo
_よゆんやんゆ	_yo_yu_n_ya_n_yu
_んいぇんよんわ	_n_ye_n_yo_n_wa
_ららりらるれら	_ra_ra_ri_ra_ru_re_ra
_りりるられりれ	_ri_ri_ru_ra_re_ri_re
_るるりろらろり	_ru_ru_ri_ro_ra_ro_ri
_れれるろれろろ	_re_re_ru_ro_re_ro_ro
_ろるんらんる	_ro_ru_n_ra_n_ru
_んりんれんろ	_n_ri_n_re_n_ro
_わわうぃわううぇわ	_wa_wa_wi_wa_u_we_wa
_うぃうぃうわうぇうぃうぇ	_wi_wi_u_wa_we_wi_we
_うぇうぇううぉうぇうぉうぉ	_we_we_u_wo_we_wo_wo
_うぉううぃうぉわうぉうぃ	_wo_u_wi_wo_wa_wo_wi
_んうぃんうぇんうぉ	_n_wi_n_we_n_wo
_ががぎがぐげが	_ga_ga_gi_ga_gu_ge_ga
_ぎぎぐがげぎげ	_gi_gi_gu_ga_ge_gi_ge
_ぐぐぎごがごぎ	_gu_gu_gi_go_ga_go_gi
_げげぐごげごご	_ge_ge_gu_go_ge_go_go
_ごぐんがんぐ	_go_gu_n_ga_n_gu
_んぎんげんご	_n_gi_n_ge_n_go
_ざざずぃざずぜざ	_za_za_zi_za_zu_ze_za
_ずぃずぃずざぜずぃぜ	_zi_zi_zu_za_ze_zi_ze
_ずずずぃぞざぞずぃ	_zu_zu_zi_zo_za_zo_zi
_ぜぜずぞぜぞぞ	_ze_ze_zu_zo_ze_zo_zo
_ぞずんざんず	_zo_zu_n_za_n_zu
_んずぃんぜんぞ	_n_zi_n_ze_n_zo
_だだでぃだどぅでだ	_da_da_di_da_du_de_da
_でぃでぃどぅだででぃで	_di_di_du_da_de_di_de
_どぅどぅでぃどだどでぃ	_du_du_di_do_da_do_di
_ででどぅどでどど	_de_de_du_do_de_do_do
_どどぅんだんどぅ	_do_du_n_da_n_du
_んでぃんでんど	_n_di_n_de_n_do
_ばばびばぶべば	_ba_ba_bi_ba_bu_be_ba
_びびぶばべびべ	_bi_bi_bu_ba_be_bi_be
_ぶぶびぼばぼび	_bu_bu_bi_bo_ba_bo_bi
_べべぶぼべぼぼ	_be_be_bu_bo_be_bo_bo
_ぼぶんばんぶ	_bo_bu_n_ba_n_bu
_んびんべんぼ	_n_bi_n_be_n_bo
_ぱぱぴぱぷぺぱ	_pa_pa_pi_pa_pu_pe_pa
_ぴぴぷぱぺぴぺ	_pi_pi_pu_pa_pe_pi_pe
_ぷぷぴぽぱぽぴ	_pu_pu_pi_po_pa_po_pi
_ぺぺぷぽぺぽぽ	_pe_pe_pu_po_pe_po_po
_ぽぷんぱんぷ	_po_pu_n_pa_n_pu
_んぴんぺんぽ	_n_pi_n_pe_n_po
_きゃきゃききゃきゅきぇきゃ	_kya_kya_ki_kya_kyu_kye_kya
_きききゅきゃきぇききぇ	_ki_ki_kyu_kya_kye_ki_kye
_きゅきゅききょきゃきょき	_kyu_kyu_ki_kyo_kya_kyo_ki
_きぇきぇきゅきょきぇきょきょ	_kye_kye_kyu_kyo_kye_kyo_kyo
_きょきゅんきゃんきゅ	_kyo_kyu_n_kya_n_kyu
_しゃしゃししゃしゅしぇしゃ	_sha_sha_shi_sha_shu_she_sha
_しししゅしゃしぇししぇ	_shi_shi_shu_sha_she_shi_she
_しゅしゅししょしゃしょし	_shu_shu_shi_sho_sha_sho_shi
_しぇしぇしゅしょしぇしょしょ	_she_she_shu_sho_she_sho_sho
_しょしゅんしゃんしゅ	_sho_shu_n_sha_n_shu
_んしんしぇんしょ	_n_shi_n_she_n_sho
_ちゃちゃちちゃちゅちぇちゃ	_cha_cha_chi_cha_chu_che_cha
_ちちちゅちゃちぇちちぇ	_chi_chi_chu_cha_che_chi_che
_ちゅちゅちちょちゃちょち	_chu_chu_chi_cho_cha_cho_chi
_ちぇちぇちゅちょちぇちょちょ	_che_che_chu_cho_che_cho_cho
_ちょちゅんちゃんちゅ	_cho_chu_n_cha_n_chu
_んちんちぇんちょ	_n_chi_n_che_n_cho
_にゃにゃににゃにゅにぇにゃ	_nya_nya_ni_nya_nyu_nye_nya
_にににゅにゃにぇににぇ	_ni_ni_nyu_nya_nye_ni_nye
_にゅにゅににょにゃにょに	_nyu_nyu_ni_nyo_nya_nyo_ni
_にぇにぇにゅにょにぇにょにょ	_nye_nye_nyu_nyo_nye_nyo_nyo
_にょにゅんにゃんにゅ	_nyo_nyu_n_nya_n_nyu
_ひゃひゃひひゃひゅひぇひゃ	_hya_hya_hi_hya_hyu_hye_hya
_ひひひゅひゃひぇひひぇ	_hi_hi_hyu_hya_hye_hi_hye
_ひゅひゅひひょひゃひょひ	_hyu_hyu_hi_hyo_hya_hyo_hi
_ひぇひぇひゅひょひぇひょひょ	_hye_hye_hyu_hyo_hye_hyo_hyo
_ひょひゅんひゃんひゅ	_hyo_hyu_n_hya_n_hyu
_みゃみゃみみゃみゅみぇみゃ	_mya_mya_mi_mya_myu_mye_mya
_みみみゅみゃみぇみみぇ	_mi_mi_myu_mya_mye_mi_mye
_みゅみゅみみょみゃみょみ	_myu_myu_mi_myo_mya_myo_mi
_みぇみぇみゅみょみぇみょみょ	_mye_mye_myu_myo_mye_myo_myo
_みょみゅんみゃんみゅ	_myo_myu_n_mya_n_myu
_りゃりゃりりゃりゅりぇりゃ	_rya_rya_ri_rya_ryu_rye_rya
_りりりゅりゃりぇりりぇ	_ri_ri_ryu_rya_rye_ri_rye
_りゅりゅりりょりゃりょり	_ryu_ryu_ri_ryo_rya_ryo_ri
_りぇりぇりゅりょりぇりょりょ	_rye_rye_ryu_ryo_rye_ryo_ryo
_りょりゅんりゃんりゅ	_ryo_ryu_n_rya_n_ryu
_ぎゃぎゃぎぎゃぎゅぎぇぎゃ	_gya_gya_gi_gya_gyu_gye_gya
_ぎぎぎゅぎゃぎぇぎぎぇ	_gi_gi_gyu_gya_gye_gi_gye
_ぎゅぎゅぎぎょぎゃぎょぎ	_gyu_gyu_gi_gyo_gya_gyo_gi
_ぎぇぎぇぎゅぎょぎぇぎょぎょ	_gye_gye_gyu_gyo_gye_gyo_gyo
_ぎょぎゅんぎゃんぎゅ	_gyo_gyu_n_gya_n_gyu
_じゃじゃじじゃじゅじぇじゃ	_ja_ja_ji_ja_ju_je_ja
_じじじゅじゃじぇじじぇ	_ji_ji_ju_ja_je_ji_je
_じゅじゅじじょじゃじょじ	_ju_ju_ji_jo_ja_jo_ji
